50.	Kit Carson Mountain	14,166	1030	CO	Sangre de Cristo Range	1.3	408
51.	Mount Wrangell	14,163	5563	AK	Wrangell Mountains	14.5	5
51.	Maroon Peak	14,163	2328	CO	Elk Range Area	8.0	355
53.	Mount Shasta	14,162	9762	CA	California Cascades	334.7	1967
 	La Plata Peak - East Peak	14,160	40	CO	Sawatch Range	.1	59
54.	Mount Oxford	14,157	648	CO	Sawatch Range	1.3	667
54.	Tabeguache Peak	14,157	440	CO	Sawatch Range	.8	627
56.	Mount Sneffels	14,155	3067	CO	San Juan Mountains	15.7	802
57.	Mount Democrat	14,154	770	CO	Central Colorado Ranges	1.2	1438
58.	Mount Sill	14,153	402	CA	Central Sierra Nevada	.6	376
 	Mount Massive - Southeast Peak	14,152	250	CO	Sawatch Range	.4	106
 	Point Success	14,147	107	WA	South Washington Cascades	.4	37
59.	Capitol Peak	14,138	1772	CO	Elk Range Area	7.4	381
 	Mount Elbert - South Peak	14,128	234	CO	Sawatch Range	.7	169
 	Mount Williamson - Far Northeast Horn	14,114	209	CA	Sequoia Sierra Nevada	.1	7
60.	Pikes Peak	14,109	5525	CO	Front Range	60.6	1934
61.	Snowmass Mountain	14,105	1180	CO	Elk Range Area	2.3	311
 	Polemonium Peak	14,104	204	CA	Central Sierra Nevada	.1	173
 	Mount Wilson - South Peak	14,104	163	CO	San Juan Mountains	.3	18
 	Mount Wilson - West Peak	14,098	108	CO	San Juan Mountains	.2	94
62.	Liberty Cap	14,097	479	WA	South Washington Cascades	.8	93
63.	Windom Peak	14,089	2166	CO	San Juan Mountains	26.3	381
63.	Mount Russell	14,089	1105	CA	Sequoia Sierra Nevada	.7	479
65.	Mount Eolus	14,087	1012	CO	San Juan Mountains	1.7	342
 	Challenger Point	14,086	264	CO	Sangre de Cristo Range	.2	426
 	Mount Russell - East Peak	14,086	43	CA	Sequoia Sierra Nevada	.1	121
66.	Mount Columbia	14,074	912	CO	Sawatch Range	1.6	556
67.	Missouri Mountain	14,071	855	CO	Sawatch Range	1.3	609
68.	Mount Augusta	14,070	5015	AK/YT	Southern Icefield Ranges	14.2	1
69.	Humboldt Peak	14,068	1227	CO	Sangre de Cristo Range	1.4	514
70.	Mount Bierstadt	14,066	773	CO	Front Range	1.0	1838
71.	Sunlight Peak	14,061	412	CO	San Juan Mountains	.5	334
 	Longs Peak - Southeast Peak	14,061	137	CO	Front Range	.1	43
72.	Split Mountain	14,060	1535	CA	Central Sierra Nevada	6.8	460
73.	Ellingwood Point	14,057	374	CO	Sangre de Cristo Range	.4	419
74.	Handies Peak	14,056	1919	CO	San Juan Mountains	11.1	728
75.	Mount Lindsey	14,055	1534	CO	Sangre de Cristo Range	2.2	399
76.	Culebra Peak	14,054	4814	CO	Sangre de Cristo Range	35.4	308
77.	Mount Sherman	14,042	901	CO	Central Colorado Ranges	8.0	1307
77.	Little Bear Peak	14,042	399	CO	Sangre de Cristo Range	.9	315
 	North Eolus	14,040	217	CO	San Juan Mountains	.3	299
79.	Redcloud Peak	14,037	1436	CO	San Juan Mountains	4.9	606
79.	Middle Palisade	14,037	1158	CA	Central Sierra Nevada	2.6	361
 	Conundrum Peak	14,035	223	CO	Elk Range Area	.3	227
81.	Mount Langley	14,033	1184	CA	Sequoia Sierra Nevada	4.4	1188
 	Conundrum Peak - North Peak	14,032	67	CO	Elk Range Area	.4	335
82.	Pyramid Peak	14,029	1649	CO	Elk Range Area	2.1	332
83.	Mount Muir	14,026	316	CA	Sequoia Sierra Nevada	.5	559
84.	Mount Tyndall	14,023	1113	CA	Sequoia Sierra Nevada	1.4	469
85.	San Luis Peak	14,022	3122	CO	San Juan Mountains	27.0	489
85.	Wetterhorn Peak	14,022	1657	CO	San Juan Mountains	2.7	497
85.	North Maroon Peak	14,022	330	CO	Elk Range Area	.4	327
88.	Wilson Peak	14,021	865	CO	San Juan Mountains	1.4	401
 	Little Bear Peak - South Peak	14,020	60	CO	Sangre de Cristo Range	.2	26
89.	Mount Wrangell - West Peak	14,013	513	AK	Wrangell Mountains	1.5	3
90.	Mount of the Holy Cross	14,007	2113	CO	Sawatch Range	18.4	668
91.	Huron Peak	14,006	1425	CO	Sawatch Range	3.2	826
92.	Sunshine Peak	14,004	484	CO	San Juan Mountains	1.3	574
